action_id,action,prediction,action_type
116919,"Read second, amended and ordered to a third reading",uncategorized,chamber_business
117112,"Read second, ordered to a third reading, rules suspended, read third (title changed), amended and passed to be engrossed",engrossment,chamber_business
117310,"Read second, ordered to a third reading, rules suspended, read third, and passed to be engrossed",engrossment,chamber_business
117555,"Read, rules suspended, read second, ordered to a third reading, read third (title changed) and passed to be engrossed",engrossment,chamber_business
117777,"Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendment pending, question on ordering to a third reading",uncategorized,chamber_business
117892,"Read second, amended (as recommended by the committee on Ways and Means), ordered to a third reading",uncategorized,chamber_business
119548,Ought NOT to pass (under Joint Rule 10) and placed in the Orders of the Day for the next session,uncategorized,chamber_business
120610,"Committee reported that the matter be placed in the Orders of the Day for Thursday January 13, 2022 with an amendment, substituting a new draft, see S2616",uncategorized,chamber_business
121421,Bill reported favorably by committee and placed in the Orders of the Day for the next session,uncategorized,chamber_business
121625,Bill reported favorably by committee as changed and placed in the Orders of the Day for the next session,uncategorized,chamber_business
125492,"Committee reported that the matter be placed in the Orders of the Day for the next session with an amendment, substituting therefor a new draft, see S2704",uncategorized,chamber_business
127708,Committee recommended ought to be adopted and placed in the Orders of the Day for the next session,uncategorized,chamber_business
127917,Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendment (H3872) pending,uncategorized,chamber_business
127919,"Read second, amended by substitution of a new text (H3872) and ordered to a third reading",uncategorized,chamber_business
128033,"Read second, amended (as recommended by the committee on House Ways and Means) and ordered to a third reading",uncategorized,chamber_business
128206,"Committee reported that the matter be placed in the Orders of the Day for Thursday, October 21, 2021",uncategorized,chamber_business
128360,"Read third, amended by substitution of a new text (H4433) and passed to be engrossed",engrossment,chamber_business
128702,"Read and placed in Orders of the Day for Wednesday, October 27, 2021",uncategorized,chamber_business
128725,"Read; rules suspended, read second, ordered to a third reading, rules suspended, read third and passed to be engrossed",engrossment,chamber_business
128817,Read second and ordered to a third reading.,uncategorized,chamber_business
128899,Read third and passed to be engrossed - see Roll Call #102 (Yeas 38 – Nays 0),engrossment,chamber_business
130355,"Ordered to a third reading, read third and passed to be engrossed",engrossment,chamber_business
133307,"Read second, amended, ordered to a third reading, read third (title changed) and passed to be engrossed",engrossment,chamber_business
133987,"Read second, ordered to a third reading, read a third time and passed to be engrossed",engrossment,chamber_business
136238,"Committee reported that the matter be placed in the Orders of the Day for the next session with an amendment, substituting a new draft, see S2956",uncategorized,chamber_business
